T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.639	0.305064063	0.3	0.05583845	3.278	3.278	00:00:03.278	00:00:03.278
3.978	0.714285714	0.3	0.306122449	1.4	4.678	00:00:01.400	00:00:04.678
5.88	0.415973378	0.3	0.103820311	2.404	7.082	00:00:02.404	00:00:07.082
8.5135	0.349283968	0.3	0.073199574	2.863	9.945	00:00:02.863	00:00:09.945
11.0125	0.468384075	0.3	0.131630185	2.135	12.08	00:00:02.135	00:00:12.080
13.531	0.344589938	0.3	0.071245335	2.902	14.982	00:00:02.902	00:00:14.982
16.2725	0.387446726	0.3	0.090068979	2.581	17.563	00:00:02.581	00:00:17.563
19.29	0.289519398	0.3	0.050292889	3.454	21.017	00:00:03.454	00:00:21.017
22.3655	0.370782351	0.3	0.082487731	2.697	23.714	00:00:02.697	00:00:23.714
25.8645	0.232504069	0.3	0.032434885	4.301	28.015	00:00:04.301	00:00:28.015
29.0815	0.468823254	0.3	0.131877146	2.133	30.148	00:00:02.133	00:00:30.148
32.7315	0.193535901	0.3	0.022473687	5.167	35.315	00:00:05.167	00:00:35.315
36.832	0.329597891	0.3	0.065180862	3.034	38.349	00:00:03.034	00:00:38.349
40.7585	0.207511932	0.3	0.025836721	4.819	43.168	00:00:04.819	00:00:43.168
45.001	0.272776869	0.3	0.044644332	3.666	46.834	00:00:03.666	00:00:46.834
49.376	0.196695515	0.3	0.023213475	5.084	51.918	00:00:05.084	00:00:51.918
53.7845	0.267881061	0.3	0.043056158	3.733	55.651	00:00:03.733	00:00:55.651
58.368	0.1840265	0.3	0.020319452	5.434	61.085	00:00:05.434	00:01:01.085
63.76	0.186915888	0.3	0.020962529	5.35	66.435	00:00:05.350	00:01:06.435
69.0025	0.194741967	0.3	0.02275466	5.135	71.57	00:00:05.135	00:01:11.570
74.3285	0.18125793	0.3	0.019712662	5.517	77.087	00:00:05.517	00:01:17.087
80.7215	0.137570505	0.3	0.011355386	7.269	84.356	00:00:07.269	00:01:24.356
88.1985	0.130123617	0.3	0.010159293	7.685	92.041	00:00:07.685	00:01:32.041
96.0565	0.124517495	0.3	0.009302764	8.031	100.072	00:00:08.031	00:01:40.072
104.632	0.109649123	0.3	0.007213758	9.12	109.192	00:00:09.120	00:01:49.192
113.2495	0.123228589	0.3	0.009111171	8.115	117.307	00:00:08.115	00:01:57.307
123.458	0.081287596	0.3	0.003964604	12.302	129.609	00:00:12.302	00:02:09.609
135.5345	0.084381065	0.3	0.004272098	11.851	141.46	00:00:11.851	00:02:21.460
149.12	0.065274151	0.3	0.002556429	15.32	156.78	00:00:15.320	00:02:36.780
165.6725	0.056227158	0.3	0.001896896	17.785	174.565	00:00:17.785	00:02:54.565
186.6745	0.041289896	0.3	0.001022913	24.219	198.784	00:00:24.219	00:03:18.784
211.1255	0.040513714	0.3	0.000984817	24.683	223.467	00:00:24.683	00:03:43.467
247.9365	0.020433601	0.3	0.000250519	48.939	272.406	00:00:48.939	00:04:32.406
310.0555	0.013280389	0.3	0.000105821	75.299	347.705	00:01:15.299	00:05:47.705
