T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.2535	0.398883127	0.3	0.09546465	2.507	2.507	00:00:02.507	00:00:02.507
4.149	0.304506699	0.3	0.055634598	3.284	5.791	00:00:03.284	00:00:05.791
7.042	0.399680256	0.3	0.095846584	2.502	8.293	00:00:02.502	00:00:08.293
9.526	0.405515004	0.3	0.098665451	2.466	10.759	00:00:02.466	00:00:10.759
12.2835	0.327976386	0.3	0.064541106	3.049	13.808	00:00:03.049	00:00:13.808
15.0915	0.389559797	0.3	0.091054101	2.567	16.375	00:00:02.567	00:00:16.375
17.9925	0.309119011	0.3	0.057332738	3.235	19.61	00:00:03.235	00:00:19.610
21.226	0.309405941	0.3	0.057439222	3.232	22.842	00:00:03.232	00:00:22.842
24.043	0.416319734	0.3	0.103993272	2.402	25.244	00:00:02.402	00:00:25.244
27.552	0.216637782	0.3	0.028159157	4.616	29.86	00:00:04.616	00:00:29.860
31.1025	0.402414487	0.3	0.097162452	2.485	32.345	00:00:02.485	00:00:32.345
34.894	0.196155355	0.3	0.023086154	5.098	37.443	00:00:05.098	00:00:37.443
38.935	0.335120643	0.3	0.067383507	2.984	40.427	00:00:02.984	00:00:40.427
42.6775	0.22217285	0.3	0.029616465	4.501	44.928	00:00:04.501	00:00:44.928
46.8615	0.258598397	0.3	0.040123878	3.867	48.795	00:00:03.867	00:00:48.795
51.695	0.172413793	0.3	0.01783591	5.8	54.595	00:00:05.800	00:00:54.595
56.3865	0.27909573	0.3	0.046736656	3.583	58.178	00:00:03.583	00:00:58.178
61.4375	0.15339776	0.3	0.014118524	6.519	64.697	00:00:06.519	00:01:04.697
67.339	0.189250568	0.3	0.021489466	5.284	69.981	00:00:05.284	00:01:09.981
72.4985	0.198609732	0.3	0.023667495	5.035	75.016	00:00:05.035	00:01:15.016
79.1315	0.121491921	0.3	0.008856172	8.231	83.247	00:00:08.231	00:01:23.247
86.331	0.162127108	0.3	0.015771119	6.168	89.415	00:00:06.168	00:01:29.415
93.8155	0.113623452	0.3	0.007746173	8.801	98.216	00:00:08.801	00:01:38.216
107.175	0.0558098	0.3	0.00186884	17.918	116.134	00:00:17.918	00:01:56.134
121.2775	0.097210071	0.3	0.005669879	10.287	126.421	00:00:10.287	00:02:06.421
132.5285	0.081866558	0.3	0.00402128	12.215	138.636	00:00:12.215	00:02:18.636
145.778	0.070008401	0.3	0.002940706	14.284	152.92	00:00:14.284	00:02:32.920
161.346	0.059340138	0.3	0.002112751	16.852	169.772	00:00:16.852	00:02:49.772
181.6645	0.042043305	0.3	0.001060584	23.785	193.557	00:00:23.785	00:03:13.557
206.391	0.038959015	0.3	0.000910683	25.668	219.225	00:00:25.668	00:03:39.225
240.927	0.023039351	0.3	0.000318487	43.404	262.629	00:00:43.404	00:04:22.629
297.141	0.014487714	0.3	0.000125936	69.024	331.653	00:01:09.024	00:05:31.653
