T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.3875	0.36036036	0.3	0.077915754	2.775	2.775	00:00:02.775	00:00:02.775
3.9585	0.422475708	0.3	0.107091434	2.367	5.142	00:00:02.367	00:00:05.142
6.559	0.352858151	0.3	0.074705325	2.834	7.976	00:00:02.834	00:00:07.976
9.2945	0.379218809	0.3	0.086284143	2.637	10.613	00:00:02.637	00:00:10.613
11.996	0.361532899	0.3	0.078423622	2.766	13.379	00:00:02.766	00:00:13.379
15.1385	0.28417164	0.3	0.048452112	3.519	16.898	00:00:03.519	00:00:16.898
18.3385	0.347101701	0.3	0.072287754	2.881	19.779	00:00:02.881	00:00:19.779
21.262	0.337154417	0.3	0.06820386	2.966	22.745	00:00:02.966	00:00:22.745
24.6785	0.258598397	0.3	0.040123878	3.867	26.612	00:00:03.867	00:00:26.612
28.5465	0.25846472	0.3	0.040082407	3.869	30.481	00:00:03.869	00:00:30.481
32.3805	0.263227165	0.3	0.041573124	3.799	34.28	00:00:03.799	00:00:34.280
36.3145	0.245760629	0.3	0.036238972	4.069	38.349	00:00:04.069	00:00:38.349
40.1405	0.27909573	0.3	0.046736656	3.583	41.932	00:00:03.583	00:00:41.932
44.182	0.222222222	0.3	0.02962963	4.5	46.432	00:00:04.500	00:00:46.432
48.573	0.233535731	0.3	0.032723363	4.282	50.714	00:00:04.282	00:00:50.714
53.4665	0.181653043	0.3	0.019798697	5.505	56.219	00:00:05.505	00:00:56.219
58.6765	0.2034588	0.3	0.02483729	4.915	61.134	00:00:04.915	00:01:01.134
64.16	0.165234633	0.3	0.01638149	6.052	67.186	00:00:06.052	00:01:07.186
69.8345	0.188786105	0.3	0.021384116	5.297	72.483	00:00:05.297	00:01:12.483
75.9175	0.145581598	0.3	0.012716401	6.869	79.352	00:00:06.869	00:01:19.352
82.7775	0.145964093	0.3	0.01278331	6.851	86.203	00:00:06.851	00:01:26.203
89.861	0.136686714	0.3	0.011209955	7.316	93.519	00:00:07.316	00:01:33.519
97.8455	0.115566855	0.3	0.008013419	8.653	102.172	00:00:08.653	00:01:42.172
107.313	0.097257343	0.3	0.005675394	10.282	112.454	00:00:10.282	00:01:52.454
117.2465	0.104329682	0.3	0.00653081	9.585	122.039	00:00:09.585	00:02:02.039
127.8725	0.085711837	0.3	0.004407911	11.667	133.706	00:00:11.667	00:02:13.706
140.976	0.068775791	0.3	0.002838066	14.54	148.246	00:00:14.540	00:02:28.246
156.3375	0.06179324	0.3	0.002291043	16.183	164.429	00:00:16.183	00:02:44.429
189.2715	0.020126799	0.3	0.000243053	49.685	214.114	00:00:49.685	00:03:34.114
234.8675	0.024092322	0.3	0.000348264	41.507	255.621	00:00:41.507	00:04:15.621
286.093	0.016408506	0.3	0.000161543	60.944	316.565	00:01:00.944	00:05:16.565
