T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.1635	0.42973786	0.3	0.110804777	2.327	2.327	00:00:02.327	00:00:02.327
3.711	0.361271676	0.3	0.078310334	2.768	5.095	00:00:02.768	00:00:05.095
6.454	0.367917586	0.3	0.08121801	2.718	7.813	00:00:02.718	00:00:07.813
9.053	0.403225806	0.3	0.097554631	2.48	10.293	00:00:02.480	00:00:10.293
11.8435	0.32247662	0.3	0.062394702	3.101	13.394	00:00:03.101	00:00:13.394
15.052	0.301568154	0.3	0.054566011	3.316	16.71	00:00:03.316	00:00:16.710
18.5935	0.265463233	0.3	0.042282437	3.767	20.477	00:00:03.767	00:00:20.477
22.102	0.307692308	0.3	0.056804734	3.25	23.727	00:00:03.250	00:00:23.727
25.719	0.251004016	0.3	0.03780181	3.984	27.711	00:00:03.984	00:00:27.711
29.303	0.314070352	0.3	0.059184112	3.184	30.895	00:00:03.184	00:00:30.895
33.1865	0.218197687	0.3	0.028566138	4.583	35.478	00:00:04.583	00:00:35.478
37.186	0.292740047	0.3	0.051418041	3.416	38.894	00:00:03.416	00:00:38.894
41.2625	0.211104074	0.3	0.026738958	4.737	43.631	00:00:04.737	00:00:43.631
46.006	0.210526316	0.3	0.026592798	4.75	48.381	00:00:04.750	00:00:48.381
50.539	0.231696015	0.3	0.032209826	4.316	52.697	00:00:04.316	00:00:52.697
55.581	0.173370319	0.3	0.018034361	5.768	58.465	00:00:05.768	00:00:58.465
61.1405	0.186880957	0.3	0.020954695	5.351	63.816	00:00:05.351	00:01:03.816
67.0585	0.154202005	0.3	0.014266955	6.485	70.301	00:00:06.485	00:01:10.301
73.4925	0.156666144	0.3	0.014726568	6.383	76.684	00:00:06.383	00:01:16.684
79.935	0.153798831	0.3	0.014192448	6.502	83.186	00:00:06.502	00:01:23.186
87.118	0.12716175	0.3	0.009702066	7.864	91.05	00:00:07.864	00:01:31.050
95.2765	0.118301195	0.3	0.008397104	8.453	99.503	00:00:08.453	00:01:39.503
103.7865	0.116726976	0.3	0.008175112	8.567	108.07	00:00:08.567	00:01:48.070
113.746	0.088090204	0.3	0.00465593	11.352	119.422	00:00:11.352	00:01:59.422
125.664	0.080102531	0.3	0.003849849	12.484	131.906	00:00:12.484	00:02:11.906
138.731	0.073260073	0.3	0.003220223	13.65	145.556	00:00:13.650	00:02:25.556
153.4165	0.063609185	0.3	0.002427677	15.721	161.277	00:00:15.721	00:02:41.277
172.0515	0.046405866	0.3	0.001292103	21.549	182.826	00:00:21.549	00:03:02.826
195.7355	0.038731167	0.3	0.000900062	25.819	208.645	00:00:25.819	00:03:28.645
227.564	0.026428458	0.3	0.000419078	37.838	246.483	00:00:37.838	00:04:06.483
278.1195	0.01580453	0.3	0.00014987	63.273	309.756	00:01:03.273	00:05:09.756
							
