T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.472	0.339673913	0.3	0.06922702	2.944	2.944	00:00:02.944	00:00:02.944
4.3775	0.348796652	0.3	0.072995462	2.867	5.811	00:00:02.867	00:00:05.811
7.0945	0.389559797	0.3	0.091054101	2.567	8.378	00:00:02.567	00:00:08.378
10.1865	0.276472215	0.3	0.045862131	3.617	11.995	00:00:03.617	00:00:11.995
13.3535	0.368053	0.3	0.081277806	2.717	14.712	00:00:02.717	00:00:14.712
16.679	0.254194204	0.3	0.038768816	3.934	18.646	00:00:03.934	00:00:18.646
19.8715	0.407996736	0.3	0.099876802	2.451	21.097	00:00:02.451	00:00:21.097
23.5465	0.20412329	0.3	0.024999791	4.899	25.996	00:00:04.899	00:00:25.996
27.757	0.283929585	0.3	0.048369606	3.522	29.518	00:00:03.522	00:00:29.518
31.108	0.314465409	0.3	0.059333096	3.18	32.698	00:00:03.180	00:00:32.698
35.307	0.191644308	0.3	0.022036525	5.218	37.916	00:00:05.218	00:00:37.916
39.699	0.280426248	0.3	0.047183328	3.566	41.482	00:00:03.566	00:00:41.482
44.4075	0.170910955	0.3	0.017526333	5.851	47.333	00:00:05.851	00:00:47.333
49.1415	0.276472215	0.3	0.045862131	3.617	50.95	00:00:03.617	00:00:50.950
54.6515	0.135080373	0.3	0.010948024	7.403	58.353	00:00:07.403	00:00:58.353
60.5935	0.223164472	0.3	0.029881429	4.481	62.834	00:00:04.481	00:01:02.834
66.3265	0.143163923	0.3	0.012297545	6.985	69.819	00:00:06.985	00:01:09.819
72.454	0.189753321	0.3	0.021603794	5.27	75.089	00:00:05.270	00:01:15.089
79.571	0.11155734	0.3	0.007467024	8.964	84.053	00:00:08.964	00:01:24.053
86.837	0.179597701	0.3	0.019353201	5.568	89.621	00:00:05.568	00:01:29.621
94.989	0.09314456	0.3	0.005205545	10.736	100.357	00:00:10.736	00:01:40.357
104.8	0.112536574	0.3	0.007598688	8.886	109.243	00:00:08.886	00:01:49.243
115.4335	0.08076892	0.3	0.003914171	12.381	121.624	00:00:12.381	00:02:01.624
128.5335	0.072364136	0.3	0.003141941	13.819	135.443	00:00:13.819	00:02:15.443
142.868	0.067340067	0.3	0.002720811	14.85	150.293	00:00:14.850	00:02:30.293
161.1855	0.045903144	0.3	0.001264259	21.785	172.078	00:00:21.785	00:02:52.078
180.1795	0.061716966	0.3	0.00228539	16.203	188.281	00:00:16.203	00:03:08.281
209.7675	0.023270426	0.3	0.000324908	42.973	231.254	00:00:42.973	00:03:51.254
