T	1/s	?(T)	?(1/s)	s	t	Interval	Total
2.3235	0.215192597	0.3	0.027784712	4.647	4.647	00:00:04.647	00:00:04.647
5.997	0.37037037	0.3	0.082304527	2.7	7.347	00:00:02.700	00:00:07.347
9.5795	0.223964166	0.3	0.030095969	4.465	11.812	00:00:04.465	00:00:11.812
13.3285	0.329706561	0.3	0.06522385	3.033	14.845	00:00:03.033	00:00:14.845
16.9705	0.235238767	0.3	0.033202367	4.251	19.096	00:00:04.251	00:00:19.096
21.2385	0.233372229	0.3	0.032677558	4.285	23.381	00:00:04.285	00:00:23.381
25.1315	0.285632676	0.3	0.048951615	3.501	26.882	00:00:03.501	00:00:26.882
29.482	0.192307692	0.3	0.022189349	5.2	32.082	00:00:05.200	00:00:32.082
34.9815	0.172443525	0.3	0.017842062	5.799	37.881	00:00:05.799	00:00:37.881
39.632	0.285551114	0.3	0.048923663	3.502	41.383	00:00:03.502	00:00:41.383
44.5	0.160410651	0.3	0.015438946	6.234	47.617	00:00:06.234	00:00:47.617
50.4085	0.179115171	0.3	0.019249347	5.583	53.2	00:00:05.583	00:00:53.200
56.526	0.150330728	0.3	0.013559597	6.652	59.852	00:00:06.652	00:00:59.852
63.0445	0.156617071	0.3	0.014717344	6.385	66.237	00:00:06.385	00:01:06.237
70.453	0.118595825	0.3	0.008438982	8.432	74.669	00:00:08.432	00:01:14.669
78.0525	0.147775972	0.3	0.013102643	6.767	81.436	00:00:06.767	00:01:21.436
85.8545	0.113160575	0.3	0.007683189	8.837	90.273	00:00:08.837	00:01:30.273
95.831	0.089960417	0.3	0.004855726	11.116	101.389	00:00:11.116	00:01:41.389
107.0645	0.088097965	0.3	0.004656751	11.351	112.74	00:00:11.351	00:01:52.740
119.324	0.075941677	0.3	0.003460283	13.168	125.908	00:00:13.168	00:02:05.908
134.2085	0.060237335	0.3	0.002177122	16.601	142.509	00:00:16.601	00:02:22.509
151.519	0.055493896	0.3	0.001847743	18.02	160.529	00:00:18.020	00:02:40.529
171.0045	0.047730419	0.3	0.001366916	20.951	181.48	00:00:20.951	00:03:01.480
204.808	0.021433471	0.3	0.000275636	46.656	228.136	00:00:46.656	00:03:48.136
246.362	0.027433337	0.3	0.000451553	36.452	264.588	00:00:36.452	00:04:24.588
323.4565	0.008493507	0.3	4.32838E-05	117.737	382.325	00:01:57.737	00:06:22.325
