T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.113	0.449236298	0.3	0.121087951	2.226	2.226	00:00:02.226	00:00:02.226
3.1885	0.519480519	0.3	0.161916006	1.925	4.151	00:00:01.925	00:00:04.151
5.177	0.487329435	0.3	0.142493987	2.052	6.203	00:00:02.052	00:00:06.203
7.57	0.365764448	0.3	0.080270179	2.734	8.937	00:00:02.734	00:00:08.937
10.461	0.32808399	0.3	0.064583463	3.048	11.985	00:00:03.048	00:00:11.985
13.578	0.313873195	0.3	0.05910983	3.186	15.171	00:00:03.186	00:00:15.171
16.895	0.290023202	0.3	0.050468075	3.448	18.619	00:00:03.448	00:00:18.619
20.087	0.340599455	0.3	0.069604793	2.936	21.555	00:00:02.936	00:00:21.555
23.3645	0.276319425	0.3	0.045811455	3.619	25.174	00:00:03.619	00:00:25.174
26.7815	0.311041991	0.3	0.058048272	3.215	28.389	00:00:03.215	00:00:28.389
30.5965	0.226500566	0.3	0.030781504	4.415	32.804	00:00:04.415	00:00:32.804
34.621	0.275178866	0.3	0.045434045	3.634	36.438	00:00:03.634	00:00:36.438
38.913	0.202020202	0.3	0.024487297	4.95	41.388	00:00:04.950	00:00:41.388
43.306	0.260688217	0.3	0.040775008	3.836	45.224	00:00:03.836	00:00:45.224
47.8665	0.189214759	0.3	0.021481335	5.285	50.509	00:00:05.285	00:00:50.509
52.8575	0.212901852	0.3	0.027196319	4.697	55.206	00:00:04.697	00:00:55.206
57.1735	0.254129606	0.3	0.038749114	3.935	59.141	00:00:03.935	00:00:59.141
63.133	0.125250501	0.3	0.009412613	7.984	67.125	00:00:07.984	00:01:07.125
69.758	0.189897455	0.3	0.021636626	5.266	72.391	00:00:05.266	00:01:12.391
75.3435	0.16934801	0.3	0.017207249	5.905	78.296	00:00:05.905	00:01:18.296
82.837	0.110107906	0.3	0.007274251	9.082	87.378	00:00:09.082	00:01:27.378
90.529	0.158679784	0.3	0.015107564	6.302	93.68	00:00:06.302	00:01:33.680
98.8295	0.097096806	0.3	0.005656674	10.299	103.979	00:00:10.299	00:01:43.979
108.1365	0.120264582	0.3	0.008678142	8.315	112.294	00:00:08.315	00:01:52.294
117.5115	0.095831337	0.3	0.005510187	10.435	122.729	00:00:10.435	00:02:02.729
131.5715	0.056545095	0.3	0.001918409	17.685	140.414	00:00:17.685	00:02:20.414
145.689	0.09478673	0.3	0.005390714	10.55	150.964	00:00:10.550	00:02:30.964
162.475	0.043436713	0.3	0.001132049	23.022	173.986	00:00:23.022	00:02:53.986
185.5105	0.04338583	0.3	0.001129398	23.049	197.035	00:00:23.049	00:03:17.035
214.321	0.028925142	0.3	0.000501998	34.572	231.607	00:00:34.572	00:03:51.607
256.0185	0.02048215	0.3	0.000251711	48.823	280.43	00:00:48.823	00:04:40.430
315.623	0.014207371	0.3	0.00012111	70.386	350.816	00:01:10.386	00:05:50.816
