T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.456	0.343406593	0.3	0.070756853	2.912	2.912	00:00:02.912	00:00:02.912
4.652	0.287356322	0.3	0.049544193	3.48	6.392	00:00:03.480	00:00:06.392
7.9335	0.32435939	0.3	0.063125408	3.083	9.475	00:00:03.083	00:00:09.475
11.2675	0.278940028	0.3	0.046684523	3.585	13.06	00:00:03.585	00:00:13.060
15.052	0.251004016	0.3	0.03780181	3.984	17.044	00:00:03.984	00:00:17.044
19.444	0.208333333	0.3	0.026041667	4.8	21.844	00:00:04.800	00:00:21.844
23.5365	0.295420975	0.3	0.052364131	3.385	25.229	00:00:03.385	00:00:25.229
28.3875	0.158302992	0.3	0.015035902	6.317	31.546	00:00:06.317	00:00:31.546
32.88	0.374812594	0.3	0.084290688	2.668	34.214	00:00:02.668	00:00:34.214
37.33	0.160462131	0.3	0.015448857	6.232	40.446	00:00:06.232	00:00:40.446
42.864	0.206782465	0.3	0.025655393	4.836	45.282	00:00:04.836	00:00:45.282
48.231	0.169549	0.3	0.017248118	5.898	51.18	00:00:05.898	00:00:51.180
54.615	0.145560408	0.3	0.012712699	6.87	58.05	00:00:06.870	00:00:58.050
61.234	0.157035176	0.3	0.014796028	6.368	64.418	00:00:06.368	00:01:04.418
68.376	0.126326427	0.3	0.00957502	7.916	72.334	00:00:07.916	00:01:12.334
76.077	0.133582688	0.3	0.010706601	7.486	79.82	00:00:07.486	00:01:19.820
83.721	0.128172264	0.3	0.009856877	7.802	87.622	00:00:07.802	00:01:27.622
94.2125	0.075866778	0.3	0.003453461	13.181	100.803	00:00:13.181	00:01:40.803
105.528	0.105820106	0.3	0.006718737	9.45	110.253	00:00:09.450	00:01:50.253
117.187	0.072108451	0.3	0.003119777	13.868	124.121	00:00:13.868	00:02:04.121
130.956	0.07315289	0.3	0.003210807	13.67	137.791	00:00:13.670	00:02:17.791
147.5495	0.051237383	0.3	0.001575162	19.517	157.308	00:00:19.517	00:02:37.308
170.476	0.037970838	0.3	0.000865071	26.336	183.644	00:00:26.336	00:03:03.644
203.0805	0.025724796	0.3	0.000397059	38.873	222.517	00:00:38.873	00:03:42.517
253.694	0.016037464	0.3	0.00015432	62.354	284.871	00:01:02.354	00:04:44.871
