T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.1605	0.430848772	0.3	0.111378399	2.321	2.321	00:00:02.321	00:00:02.321
3.8545	0.326051516	0.3	0.063785755	3.067	5.388	00:00:03.067	00:00:05.388
6.805	0.352858151	0.3	0.074705325	2.834	8.222	00:00:02.834	00:00:08.222
9.497	0.392156863	0.3	0.092272203	2.55	10.772	00:00:02.550	00:00:10.772
12.7975	0.246852629	0.3	0.036561732	4.051	14.823	00:00:04.051	00:00:14.823
16.198	0.363636364	0.3	0.079338843	2.75	17.573	00:00:02.750	00:00:17.573
19.3145	0.287108814	0.3	0.049458883	3.483	21.056	00:00:03.483	00:00:21.056
22.648	0.314070352	0.3	0.059184112	3.184	24.24	00:00:03.184	00:00:24.240
26.807	0.194779899	0.3	0.022763525	5.134	29.374	00:00:05.134	00:00:29.374
30.941	0.319081047	0.3	0.061087629	3.134	32.508	00:00:03.134	00:00:32.508
35.008	0.2	0.3	0.024	5	37.508	00:00:05.000	00:00:37.508
39.0915	0.315756236	0.3	0.0598212	3.167	40.675	00:00:03.167	00:00:40.675
43.3665	0.185770017	0.3	0.020706299	5.383	46.058	00:00:05.383	00:00:46.058
48.5415	0.20132877	0.3	0.024319964	4.967	51.025	00:00:04.967	00:00:51.025
53.651	0.190403656	0.3	0.021752131	5.252	56.277	00:00:05.252	00:00:56.277
59.2015	0.170969396	0.3	0.017538321	5.849	62.126	00:00:05.849	00:01:02.126
65.11	0.167560322	0.3	0.016845877	5.968	68.094	00:00:05.968	00:01:08.094
71.3275	0.154631205	0.3	0.014346486	6.467	74.561	00:00:06.467	00:01:14.561
78.0695	0.142511045	0.3	0.012185639	7.017	81.578	00:00:07.017	00:01:21.578
85.5365	0.126310471	0.3	0.009572601	7.917	89.495	00:00:07.917	00:01:29.495
93.737	0.11786893	0.3	0.008335851	8.484	97.979	00:00:08.484	00:01:37.979
102.763	0.10451505	0.3	0.006554037	9.568	107.547	00:00:09.568	00:01:47.547
112.5725	0.099492588	0.3	0.005939265	10.051	117.598	00:00:10.051	00:01:57.598
125.349	0.064507805	0.3	0.002496754	15.502	133.1	00:00:15.502	00:02:13.100
139.2585	0.081188601	0.3	0.003954953	12.317	145.417	00:00:12.317	00:02:25.417
153.2005	0.064238453	0.3	0.002475947	15.567	160.984	00:00:15.567	00:02:40.984
175.927	0.033460483	0.3	0.000671762	29.886	190.87	00:00:29.886	00:03:10.870
202.921	0.041490333	0.3	0.001032869	24.102	214.972	00:00:24.102	00:03:34.972
238.6995	0.021072595	0.3	0.000266433	47.455	262.427	00:00:47.455	00:04:22.427
293.7715	0.015951762	0.3	0.000152675	62.689	325.116	00:01:02.689	00:05:25.116
