T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.502	0.332889481	0.3	0.066489244	3.004	3.004	00:00:03.004	00:00:03.004
4.938	0.258531541	0.3	0.040103135	3.868	6.872	00:00:03.868	00:00:06.872
8.6045	0.288600289	0.3	0.049974076	3.465	10.337	00:00:03.465	00:00:10.337
11.9205	0.315756236	0.3	0.0598212	3.167	13.504	00:00:03.167	00:00:13.504
15.9705	0.2027164	0.3	0.024656363	4.933	18.437	00:00:04.933	00:00:18.437
20.754	0.215796288	0.3	0.027940823	4.634	23.071	00:00:04.634	00:00:23.071
25.306	0.223713647	0.3	0.030028677	4.47	27.541	00:00:04.470	00:00:27.541
29.715	0.2299908	0.3	0.031737461	4.348	31.889	00:00:04.348	00:00:31.889
34.7645	0.173882803	0.3	0.018141138	5.751	37.64	00:00:05.751	00:00:37.640
39.6735	0.245881485	0.3	0.036274623	4.067	41.707	00:00:04.067	00:00:41.707
45.683	0.125754527	0.3	0.009488521	7.952	49.659	00:00:07.952	00:00:49.659
51.793	0.234301781	0.3	0.032938395	4.268	53.927	00:00:04.268	00:00:53.927
58.0845	0.120264582	0.3	0.008678142	8.315	62.242	00:00:08.315	00:01:02.242
65.0175	0.180147721	0.3	0.019471921	5.551	67.793	00:00:05.551	00:01:07.793
72.177	0.114051095	0.3	0.007804591	8.768	76.561	00:00:08.768	00:01:16.561
80.619	0.123213406	0.3	0.009108926	8.116	84.677	00:00:08.116	00:01:24.677
90.595	0.084488003	0.3	0.004282934	11.836	96.513	00:00:11.836	00:01:36.513
101.68	0.09676795	0.3	0.005618422	10.334	106.847	00:00:10.334	00:01:46.847
113.882	0.071073205	0.3	0.00303084	14.07	120.917	00:00:14.070	00:02:00.917
128.816	0.063299152	0.3	0.00240407	15.798	136.715	00:00:15.798	00:02:16.715
145.234	0.058692335	0.3	0.002066874	17.038	153.753	00:00:17.038	00:02:33.753
166.9705	0.037828636	0.3	0.000858603	26.435	180.188	00:00:26.435	00:03:00.188
195.655	0.03232689	0.3	0.000627017	30.934	211.122	00:00:30.934	00:03:31.122
234.534	0.021356569	0.3	0.000273662	46.824	257.946	00:00:46.824	00:04:17.946
302.825	0.011141068	0.3	0	89.758	347.704	00:01:29.758	00:05:47.704
