T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.3615	0.367242012	0.3	0.080920017	2.723	2.723	00:00:02.723	00:00:02.723
4.7315	0.248941997	0.3	0.037183271	4.017	6.74	00:00:04.017	00:00:06.740
8.64	0.263157895	0.3	0.041551247	3.8	10.54	00:00:03.800	00:00:10.540
12.59	0.243902439	0.3	0.03569304	4.1	14.64	00:00:04.100	00:00:14.640
16.649	0.24888004	0.3	0.037164765	4.018	18.658	00:00:04.018	00:00:18.658
21.2825	0.190512479	0.3	0.021777003	5.249	23.907	00:00:05.249	00:00:23.907
25.5325	0.307597662	0.3	0.056769793	3.251	27.158	00:00:03.251	00:00:27.158
30.2255	0.162999185	0.3	0.015941241	6.135	33.293	00:00:06.135	00:00:33.293
35.801	0.199362041	0.3	0.023847134	5.016	38.309	00:00:05.016	00:00:38.309
40.576	0.220555801	0.3	0.029186917	4.534	42.843	00:00:04.534	00:00:42.843
46.8935	0.12344155	0.3	0.00914269	8.101	50.944	00:00:08.101	00:00:50.944
52.9525	0.248941997	0.3	0.037183271	4.017	54.961	00:00:04.017	00:00:54.961
60.086	0.097560976	0.3	0.005710886	10.25	65.211	00:00:10.250	00:01:05.211
68.337	0.159948816	0.3	0.015350174	6.252	71.463	00:00:06.252	00:01:11.463
76.4135	0.100999899	0.3	0.006120588	9.901	81.364	00:00:09.901	00:01:21.364
85.7385	0.114298777	0.3	0.007838526	8.749	90.113	00:00:08.749	00:01:30.113
96.005	0.084860828	0.3	0.004320816	11.784	101.897	00:00:11.784	00:01:41.897
108.1145	0.080418175	0.3	0.00388025	12.435	114.332	00:00:12.435	00:01:54.332
120.591	0.079884966	0.3	0.003828965	12.518	126.85	00:00:12.518	00:02:06.850
137.0425	0.049055678	0.3	0.001443876	20.385	147.235	00:00:20.385	00:02:27.235
156.6275	0.053233963	0.3	0.001700313	18.785	166.02	00:00:18.785	00:02:46.020
183.9045	0.02795717	0.3	0.000468962	35.769	201.789	00:00:35.769	00:03:21.789
224.825	0.021705157	0.3	0.000282668	46.072	247.861	00:00:46.072	00:04:07.861
281.95	0.014667488	0.3	0.000129081	68.178	316.039	00:01:08.178	00:05:16.039
