T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.053	0.474833808	0.3	0.135280287	2.106	2.106	00:00:02.106	00:00:02.106
3.84	0.288350634	0.3	0.049887653	3.468	5.574	00:00:03.468	00:00:05.574
7.049	0.338983051	0.3	0.068945705	2.95	8.524	00:00:02.950	00:00:08.524
10.266	0.287026406	0.3	0.049430495	3.484	12.008	00:00:03.484	00:00:12.008
13.7325	0.289939113	0.3	0.050438813	3.449	15.457	00:00:03.449	00:00:15.457
16.974	0.329597891	0.3	0.065180862	3.034	18.491	00:00:03.034	00:00:18.491
20.5995	0.237135404	0.3	0.03373992	4.217	22.708	00:00:04.217	00:00:22.708
24.709	0.249875062	0.3	0.037462528	4.002	26.71	00:00:04.002	00:00:26.710
28.4595	0.285795942	0.3	0.049007592	3.499	30.209	00:00:03.499	00:00:30.209
32.9425	0.182915676	0.3	0.020074887	5.467	35.676	00:00:05.467	00:00:35.676
37.076	0.357142857	0.3	0.076530612	2.8	38.476	00:00:02.800	00:00:38.476
42.143	0.136351241	0.3	0.011154997	7.334	45.81	00:00:07.334	00:00:45.810
47.61	0.277777778	0.3	0.046296296	3.6	49.41	00:00:03.600	00:00:49.410
52.3435	0.170444861	0.3	0.01743087	5.867	55.277	00:00:05.867	00:00:55.277
58.5275	0.153822489	0.3	0.014196815	6.501	61.778	00:00:06.501	00:01:01.778
64.2115	0.205465379	0.3	0.025329613	4.867	66.645	00:00:04.867	00:01:06.645
70.479	0.130412102	0.3	0.01020439	7.668	74.313	00:00:07.668	00:01:14.313
78.23	0.127648711	0.3	0.009776516	7.834	82.147	00:00:07.834	00:01:22.147
86.0975	0.126566257	0.3	0.009611411	7.901	90.048	00:00:07.901	00:01:30.048
94.3895	0.115167569	0.3	0.007958141	8.683	98.731	00:00:08.683	00:01:38.731
103.848	0.097713504	0.3	0.005728757	10.234	108.965	00:00:10.234	00:01:48.965
115.2575	0.079459674	0.3	0.003788304	12.585	121.55	00:00:12.585	00:02:01.550
128.275	0.074349442	0.3	0.003316704	13.45	135	00:00:13.450	00:02:15.000
142.4425	0.067181727	0.3	0.002708031	14.885	149.885	00:00:14.885	00:02:29.885
159.295	0.053134963	0.3	0.001693995	18.82	168.705	00:00:18.820	00:02:48.705
183.422	0.033974315	0.3	0.000692552	29.434	198.139	00:00:29.434	00:03:18.139
214.1995	0.031132281	0.3	0.000581531	32.121	230.26	00:00:32.121	00:03:50.260
264.6705	0.014530449	0.3	0.00012668	68.821	299.081	00:01:08.821	00:04:59.081
