T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.815	0.275482094	0.3	0.04553423	3.63	3.63	00:00:03.630	00:00:03.630
5.634	0.249500998	0.3	0.037350449	4.008	7.638	00:00:04.008	00:00:07.638
9.985	0.213037921	0.3	0.027231093	4.694	12.332	00:00:04.694	00:00:12.332
14.6555	0.215192597	0.3	0.027784712	4.647	16.979	00:00:04.647	00:00:16.979
19.9895	0.166085368	0.3	0.01655061	6.021	23	00:00:06.021	00:00:23.000
25.72	0.183823529	0.3	0.020274654	5.44	28.44	00:00:05.440	00:00:28.440
31.696	0.153562654	0.3	0.014148893	6.512	34.952	00:00:06.512	00:00:34.952
38.037	0.162074554	0.3	0.015760897	6.17	41.122	00:00:06.170	00:00:41.122
46.192	0.098619329	0.3	0.005835463	10.14	51.262	00:00:10.140	00:00:51.262
54.847	0.139470014	0.3	0.011671131	7.17	58.432	00:00:07.170	00:00:58.432
63.2	0.104865772	0.3	0.006598098	9.536	67.968	00:00:09.536	00:01:07.968
71.5815	0.138370001	0.3	0.011487754	7.227	75.195	00:00:07.227	00:01:15.195
83.8745	0.057607005	0.3	0.00199114	17.359	92.554	00:00:17.359	00:01:32.554
98.105	0.090073861	0.3	0.00486798	11.102	103.656	00:00:11.102	00:01:43.656
113.1915	0.052435635	0.3	0.001649698	19.071	122.727	00:00:19.071	00:02:02.727
132.411	0.051631557	0.3	0.001599491	19.368	142.095	00:00:19.368	00:02:22.095
155.5955	0.037035665	0.3	0.000822984	27.001	169.096	00:00:27.001	00:02:49.096
189.373	0.02465848	0.3	0.000364824	40.554	209.65	00:00:40.554	00:03:29.650
241.0125	0.015942607	0.3	0.0001525	62.725	272.375	00:01:02.725	00:04:32.375
