T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.23	0.406504065	0.3	0.099147333	2.46	2.46	00:00:02.460	00:00:02.460
3.7685	0.382116928	0.3	0.087608008	2.617	5.077	00:00:02.617	00:00:05.077
6.1435	0.468823254	0.3	0.131877146	2.133	7.21	00:00:02.133	00:00:07.210
8.8435	0.306091215	0.3	0.056215099	3.267	10.477	00:00:03.267	00:00:10.477
11.9275	0.344708721	0.3	0.071294461	2.901	13.378	00:00:02.901	00:00:13.378
14.761	0.361532899	0.3	0.078423622	2.766	16.144	00:00:02.766	00:00:16.144
17.803	0.301386377	0.3	0.054500249	3.318	19.462	00:00:03.318	00:00:19.462
20.8495	0.36036036	0.3	0.077915754	2.775	22.237	00:00:02.775	00:00:22.237
23.7665	0.326904217	0.3	0.06411982	3.059	25.296	00:00:03.059	00:00:25.296
27.046	0.285714286	0.3	0.048979592	3.5	28.796	00:00:03.500	00:00:28.796
30.8795	0.239980802	0.3	0.034554471	4.167	32.963	00:00:04.167	00:00:32.963
34.4715	0.331455088	0.3	0.065917485	3.017	35.98	00:00:03.017	00:00:35.980
38.4135	0.205465379	0.3	0.025329613	4.867	40.847	00:00:04.867	00:00:40.847
42.3475	0.333222259	0.3	0.066622244	3.001	43.848	00:00:03.001	00:00:43.848
46.323	0.202020202	0.3	0.024487297	4.95	48.798	00:00:04.950	00:00:48.798
50.8395	0.244917952	0.3	0.035990882	4.083	52.881	00:00:04.083	00:00:52.881
55.7985	0.171379606	0.3	0.017622582	5.835	58.716	00:00:05.835	00:00:58.716
60.324	0.310945274	0.3	0.058012178	3.216	61.932	00:00:03.216	00:01:01.932
65.899	0.126039829	0.3	0.009531623	7.934	69.866	00:00:07.934	00:01:09.866
72.0165	0.232504069	0.3	0.032434885	4.301	74.167	00:00:04.301	00:01:14.167
77.5675	0.1470372	0.3	0.012971963	6.801	80.968	00:00:06.801	00:01:20.968
84.3185	0.149231458	0.3	0.013362017	6.701	87.669	00:00:06.701	00:01:27.669
91.2355	0.140193467	0.3	0.011792525	7.133	94.802	00:00:07.133	00:01:34.802
99.061	0.11739845	0.3	0.008269438	8.518	103.32	00:00:08.518	00:01:43.320
107.0085	0.135556459	0.3	0.011025332	7.377	110.697	00:00:07.377	00:01:50.697
117.3345	0.075329567	0.3	0.003404726	13.275	123.972	00:00:13.275	00:02:03.972
129.3225	0.09344921	0.3	0.005239653	10.701	134.673	00:00:10.701	00:02:14.673
142.182	0.066586763	0.3	0.002660278	15.018	149.691	00:00:15.018	00:02:29.691
156.9055	0.069304872	0.3	0.002881899	14.429	164.12	00:00:14.429	00:02:44.120
175.203	0.045114139	0.3	0.001221171	22.166	186.286	00:00:22.166	00:03:06.286
195.6755	0.053250972	0.3	0.0017014	18.779	205.065	00:00:18.779	00:03:25.065
230.6585	0.01953621	0.3	0.000228998	51.187	256.252	00:00:51.187	00:04:16.252
