1670	0.0813
1670.5	0.08448
1671	0.0868
1671.5	0.08918
1672	0.0923
1672.5	0.0951
1673	0.09766
1673.5	0.09976
1674	0.10182
1674.5	0.10412
1675	0.10632
1675.5	0.10834
1676	0.11072
1676.5	0.11326
1677	0.11494
1677.5	0.11702
1678	0.1193
1678.5	0.12156
1679	0.12364
1679.5	0.12546
1680	0.12748
1680.5	0.12982
1681	0.1326
1681.5	0.13496
1682	0.13728
1682.5	0.13914
1683	0.14122
1683.5	0.1441
1684	0.1468
1684.5	0.14906
1685	0.1509
1685.5	0.15232
1686	0.15328
1686.5	0.15452
1687	0.15684
1687.5	0.15918
1688	0.1605
1688.5	0.16186
1689	0.16366
1689.5	0.16504
1690	0.16646
1690.5	0.1677
1691	0.16896
1691.5	0.17016
1692	0.17168
1692.5	0.17408
1693	0.1761
1693.5	0.17776
1694	0.1792
1694.5	0.17988
1695	0.18026
1695.5	0.18064
1696	0.18138
1696.5	0.18242
1697	0.184
1697.5	0.18598
1698	0.18788
1698.5	0.18922
1699	0.18976
1699.5	0.19018
1700	0.19104
1700.5	0.19206
1701	0.19274
1701.5	0.19282
1702	0.1927
1702.5	0.19266
1703	0.19292
1703.5	0.19316
1704	0.19382
1704.5	0.19432
1705	0.19458
1705.5	0.19498
1706	0.19466
1706.5	0.19478
1707	0.19552
1707.5	0.19628
1708	0.19632
1708.5	0.19556
1709	0.19484
1709.5	0.19386
1710	0.19264
1710.5	0.19144
1711	0.19062
1711.5	0.19024
1712	0.18966
1712.5	0.18892
1713	0.18838
1713.5	0.18816
1714	0.1881
1714.5	0.18744
1715	0.18546
1715.5	0.18384
1716	0.1825
1716.5	0.18142
1717	0.18086
1717.5	0.18008
1718	0.1788
1718.5	0.17624
1719	0.17376
1719.5	0.172
1720	0.17168
1720.5	0.17208
1721	0.1724
1721.5	0.17222
1722	0.17202
1722.5	0.17098
1723	0.1703
1723.5	0.16936
1724	0.16868
1724.5	0.16794
1725	0.16624
1725.5	0.16434
1726	0.16294
1726.5	0.16104
1727	0.15922
1727.5	0.15814
1728	0.15648
1728.5	0.15442
1729	0.1518
1729.5	0.14934
1730	0.14748
1730.5	0.14594
1731	0.1447
1731.5	0.14286
1732	0.14038
1732.5	0.13776
1733	0.13532
1733.5	0.1331
1734	0.1308
1734.5	0.129
1735	0.12694
1735.5	0.12468
1736	0.12332
1736.5	0.12162
1737	0.11926
1737.5	0.11648
1738	0.11312
1738.5	0.11014
1739	0.10784
1739.5	0.10548
1740	0.10332
1740.5	0.10116
1741	0.09792
1741.5	0.09526
1742	0.093
1742.5	0.09098
1743	0.08884
1743.5	0.08704
1744	0.0851
1744.5	0.08304
1745	0.08078
1745.5	0.07798
1746	0.07594
1746.5	0.074
1747	0.0722
1747.5	0.06998
1748	0.06712
1748.5	0.06432
1749	0.06184
1749.5	0.05888
1750	0.05692
1750.5	0.05534
1751	0.05282
1751.5	0.05018
1752	0.04756
1752.5	0.04538
1753	0.0432
1753.5	0.04172
1754	0.03976
1754.5	0.03724
1755	0.0348
1755.5	0.032
1756	0.0295
1756.5	0.02724
1757	0.025
1757.5	0.02304
1758	0.02092
1758.5	0.0185
1759	0.01564
1759.5	0.01288
1760	0.0102
1760.5	0.00796
1761	0.00664
1761.5	0.00502
1762	0.00326
1762.5	0.00164
1763	-0.00032
1763.5	-0.00242
1764	-0.00438
1764.5	-0.00622
1765	-0.00848
1765.5	-0.0115
1766	-0.01444
1766.5	-0.01624
1767	-0.01762
1767.5	-0.01874
1768	-0.01954
1768.5	-0.02022
1769	-0.02104
1769.5	-0.02202
1770	-0.02296
1770.5	-0.02384
1771	-0.02462
1771.5	-0.0254
1772	-0.02606
1772.5	-0.02676
1773	-0.02722
1773.5	-0.02802
1774	-0.02862
1774.5	-0.02946
1775	-0.03084
1775.5	-0.03174
1776	-0.03304
1776.5	-0.03418
1777	-0.035
1777.5	-0.03614
1778	-0.03692
1778.5	-0.03776
1779	-0.03892
1779.5	-0.03966
1780	-0.03992
1780.5	-0.03986
1781	-0.03958
1781.5	-0.03968
1782	-0.03994
1782.5	-0.03986
1783	-0.0393
1783.5	-0.03924
1784	-0.04016
1784.5	-0.04098
1785	-0.041
1785.5	-0.04062
1786	-0.04034
1786.5	-0.04002
1787	-0.03998
1787.5	-0.03962
1788	-0.03876
1788.5	-0.0381
1789	-0.0371
1789.5	-0.03636
1790	-0.03572
1790.5	-0.03454
1791	-0.03258
1791.5	-0.0308
1792	-0.02944
1792.5	-0.02876
1793	-0.02762
1793.5	-0.02738
1794	-0.02688
1794.5	-0.02604
1795	-0.02524
1795.5	-0.02448
1796	-0.02322
1796.5	-0.02102
1797	-0.01896
1797.5	-0.0173
1798	-0.01596
1798.5	-0.01424
1799	-0.01254
1799.5	-0.01042
1800	-0.00896
1800.5	-0.00792
1801	-0.00704
1801.5	-0.00602
1802	-0.0044
1802.5	-0.0032
1803	-0.00202
1803.5	-0.00074
1804	0.00052
1804.5	0.00272
1805	0.00418
1805.5	0.0053
1806	0.00722
1806.5	0.00938
1807	0.0119
1807.5	0.01426
1808	0.01674
1808.5	0.0192
1809	0.02142
1809.5	0.02312
1810	0.0249
1810.5	0.02756
1811	0.03096
1811.5	0.03386
1812	0.03652
1812.5	0.03922
1813	0.04172
1813.5	0.04392
1814	0.04568
1814.5	0.04834
1815	0.05078
1815.5	0.05374
1816	0.0559
1816.5	0.0578
1817	0.05962
1817.5	0.06172
1818	0.06446
1818.5	0.0675
1819	0.07034
1819.5	0.07314
1820	0.07548
1820.5	0.0775
1821	0.07988
